	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
CACNA1E	0	0	0.138240471928334	0.171500374898259	0	0.0599986557501688	0.288710887292425
CACNA1F	0.882021461286491	0	0.12933289889144	0.536302096802592	0	0.573540779111432	0
CACNA1G	0	1.64633900851075	0.115757172527795	0.274841306711951	0	0	0
CACNA1G-AS1	0	0	0	0	0	0	0
CACNA1H	0.00403210074950355	0	0.054303414829685	1.1258130406759	0	0	0
CACNA1I	0.0632231816251356	0	1.29792664210982	0.105946117215012	0	0.00585371653329585	0.293882668983734
CACNA1S	0	0	0.0518794579346001	0.0301613473079332	0	0	0
CACNA2D1	0	3.64882475296964	0.0706671671691617	0.217772876202358	0.956330150571962	0.0407308410617568	0
CACNA2D2	0.130638424863404	0	1.94686931358541	0.262649936431275	0	0	1.55287041968728
CACNA2D3	0	0	0	0.00970061688930615	0	6.29994567130101	0
CACNA2D3-AS1	4.20306683358594	0	0	0.140800862245865	0	0	0
CACNA2D4	2.7512175636645	0	1.96919065873047	1.86304307336281	0	2.59303087384365	3.27482926994724
CACNB1	0	19.8263345065596	12.4588529974566	10.5442355949584	4.80641254738093	1.29513324239317	0.843582168105343
CACNB2	5.03359529391202	2.48874554255552	3.68896084379609	4.08597890601207	1.81732430692523	2.46438141142303	2.43395044096202
CACNB3	0	2.05378921256683	1.90054415495978	0.258143576772682	0.68362434595775	0.17513416530657	0
CACNB4	4.33821828753646	6.74130561499562	0.0100000941046206	0.224794095935633	0	0.0562195357333154	0
CACNG1	0	0	2.12118290953507	0.0722018841781579	0	0	0
CACNG2	0	0	0.109575761838439	0.0550338547895395	0	0	0
CACNG3	0.754034718991355	0	0.271207369451564	0.0808773926875577	0	0.034145555701284	0
CACNG4	0	0	0	0.0333672844063419	0	0	0
CACNG5	0	0.636242482380513	0.303091856248208	0.0111854037115744	0	0	0
CACNG6	0	0	0.0130306521143947	0.00265548153140691	0	0	0
CACNG7	0	0	0.176914470436356	0.123949972239016	0	0.602803215004272	0
CACNG8	6.9849343535052	4.94266216740119	10.1714825313651	9.56732520380346	3.58549863362884	3.35043400057478	8.04050310056547
